autor_de           	TP:5 FP:1 FN:4	P:0.833333 R:0.555556 F1:0.666667
data_de            	TP:0 FP:3 FN:7	P:0.000000 R:0.000000 F1:0.000000
data_morte         	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
datado_de          	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
ident              	TP:4 FP:13 FN:61	P:0.235294 R:0.061538 F1:0.097561
inclui             	TP:1 FP:8 FN:21	P:0.111111 R:0.045455 F1:0.064516
incluido           	TP:0 FP:4 FN:28	P:0.000000 R:0.000000 F1:0.000000
localizado_em      	TP:0 FP:3 FN:3	P:0.000000 R:0.000000 F1:0.000000
natural_de         	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
obra_de            	TP:0 FP:1 FN:3	P:0.000000 R:0.000000 F1:0.000000
participante_em    	TP:0 FP:1 FN:6	P:0.000000 R:0.000000 F1:0.000000
pratica_se         	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
praticado_por      	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
produtor_de        	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
produzido_por      	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar   	TP:0 FP:0 FN:7	P:0.000000 R:0.000000 F1:0.000000
sede_de            	TP:2 FP:3 FN:2	P:0.400000 R:0.500000 F1:0.444444
ter_participacao_de	TP:0 FP:1 FN:8	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst       	TP:0 FP:8 FN:20	P:0.000000 R:0.000000 F1:0.000000
--------------------------------------------------
All                	TP:12 FP:46 FN:184	P:0.206897 R:0.061224 F1:0.094488
--- 98.31472516059875 seconds ---
