autor_de            	TP:3 FP:3 FN:5	P:0.500000 R:0.375000 F1:0.428571
data_de             	TP:3 FP:6 FN:7	P:0.333333 R:0.300000 F1:0.315789
datado_de           	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
ident               	TP:4 FP:36 FN:311	P:0.100000 R:0.012698 F1:0.022535
inclui              	TP:2 FP:9 FN:35	P:0.181818 R:0.054054 F1:0.083333
incluido            	TP:0 FP:1 FN:90	P:0.000000 R:0.000000 F1:0.000000
localizado_em       	TP:0 FP:1 FN:15	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:0 FP:0 FN:19	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:0 FP:0 FN:9	P:0.000000 R:0.000000 F1:0.000000
participante_em     	TP:0 FP:1 FN:11	P:0.000000 R:0.000000 F1:0.000000
personagem_de       	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:1 FN:8	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:8	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:1 FN:17	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:6 FP:11 FN:12	P:0.352941 R:0.333333 F1:0.342857
ter_participacao_de 	TP:0 FP:4 FN:2	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst        	TP:2 FP:23 FN:56	P:0.080000 R:0.034483 F1:0.048193
--------------------------------------------------
All                 	TP:20 FP:97 FN:630	P:0.170940 R:0.030769 F1:0.052151
--- 268.0491464138031 seconds ---
